LBR	1635.9583	4427319		59.9	
LBR	1581.055	4612330		59.1	3.622
LBR	1525.458	4706106		60.4	3.533
LBR	1423.2296	5193422		60.7	5.1215
LBR	1383.8281	5087591		60.9	4.6252
LBR	1533.4113	4796632		60.6	3.4954
PHL	6610.851	99700112		70.8	
PHL	5995.431	96337912	8.811692	70.8	4.825137
PHL	8731.861	110380800	4.315968	71.9	6.006
PHL	8094.693	113880336		69.3	5.9036
PHL	6917.749	101325208		71.2	5.073
PHL	7773.2603	112190984		72.1	5.8802
PHL	8001.7563	106738496	7.746033	71.5	5.5241
PHL	8365.732	108568832	5.204993	71.7	5.6314
PHL	6298.16	98032320	8.654289	70.9	
PHL	7235.0815	103031360		71.3	5.279
PHL	7616.05	104875272	10.636445	71.4	5.43
ECU	11908.216	16195904	6.4831214	76.8	5.976
ECU	11608.419	17015672	5.841674	77.1	6.0276
ECU	11424.152	15483884	12.412907	76.1	
ECU	10356.975	17588596	7.800509	72.2	5.764
ECU	10668.758	17797736	14.024255	73.7	5.5333
ECU	11679.431	16696947	5.8094463	77	5.9732
ECU	12073.811	15957995	8.209052	76.6	5.975
ECU	11390.217	17343742	6.843968	77.3	5.9252
ECU	11806.924	15722988	10.971196	76.4	
ECU	11587.825	16439588	5.8334804	76.8	6.008
ECU	10988.722	15237734	15.376308	75.7	5.424841
NIC	4805.4023	5942554	12.418905	72.4	5.114866
NIC	5638.748	6850546	11.006432	73.8	6.1646
NIC	5214.529	6119377	9.706867	72.7	
NIC	5385.4985	6208680	8.45591	72.8	5.828
NIC	5915.3755	6480534	6.650689	73.6	6.141
NIC	5181.727	6755900		71.8	5.9721
NIC	5042.803	6030605	11.159739	72.6	
NIC	5348.9873	6663919	7.7281795	74.1	6.1371
NIC	5636.6396	6572234	10.376991	73.8	6.105
NIC	5734.355	6389237	7.0900507	73.3	6.071
NIC	5563.004	6298610	8.319312	73	5.992
NER	1143.8607	20921748		61.6	4.028
NER	1186.5768	25252722		61.6	5.0035
NER	1214.5465	24333644		61.5	5.0741
NER	1155.9735	21737924		62.2	4.1655
NER	1075.146	17954410	4.3888946	59.6	
NER	1124.41	20128132		61.1	3.856
NER	1010.32697	17283118	4.8081617	59	4.121817
NER	1089.8732	18653204		60.2	
NER	1193.2656	22577060		62.5	4.6275
NER	1217.446	23443400		62.9	4.9096
NER	1119.1372	19372012		60.8	3.845
MMR	4109.5576	51892352	2.5803418	65.7	4.545
MMR	4829.5366	53040212	2.863865	66.6	4.308
MMR	4947.0938	53423200	2.94067	66.8	4.4258
MMR	4556.2812	52666016	2.7569962	66.5	4.3604
MMR	4032.6257	53798088	28.437815	65.7	4.3942
MMR	3187.115	50218196	2.8595219	64.1	
MMR	3018.4617	49794528	2.118707	63.9	5.321977
MMR	3409.649	50648336	2.4443054	64.8	
MMR	3658.5935	51072436	2.408344	65.1	4.307
MMR	3748.2942	51483956	2.5289435	65.6	4.395
MMR	4312.9473	52288344	2.6621614	65.8	4.3078
SAU	45840.84	35018132	0.6396686	77.2	6.3747
SAU	42891.688	35997108		76.2	6.494
SAU	44053.996	30150952		76.2	6.597326
SAU	46394.902	32125570		76.8	6.411
SAU	47210.23	33416272		77.1	6.344
SAU	45795.51	34193120		77.2	6.3709
SAU	44954.992	35827364	0.7954814	77.3	6.4065
SAU	45674.324	31482502		76.6	
SAU	45427.574	30821554		76.5	
SAU	47379.355	32749838		76.9	6.379
SAU	44339.312	35950396		76.9	6.5228
SVK	26650.363	5414744	1.4405127	76.5	
SVK	30061.55	5439418	1.470746	77.2	6.1734
SVK	29248.885	5431205	1.1047275	77.2	6.098
SVK	31973.46	5453932	1.3934921	77.7	6.2806
SVK	26511.27	5409283	1.3865052	76.2	
SVK	31866.025	5447621	1.0096148	74.9	6.3907
SVK	27342.627	5419572	1.328519	76.8	5.995
SVK	28728.156	5424449	0.8848832	76.6	6.078
SVK	31229.863	5446746	1.2300924	77.3	6.1976
SVK	26210.758	5402686	1.7768961	76	5.656836
SVK	30867.973	5456681	1.154548	77	6.3309
LBY	19108.943	6192241		71.7	5.615
LBY	16924.15	6653946		72.5	5.4103
LBY	32214.906	5869880		72.2	
LBY	22535.445	6569085		72.5	5.4888
LBY	24212.91	6378267		72.5	5.5657
LBY	19569.9	6097767		71.5	5.754
LBY	25907.758	5985228		72.3	
LBY	21965.174	6735280		71.9	5.3302
LBY	16356.362	6188135		70.1	5.177599
LBY	25734.168	6477791		72.8	5.5253
LBY	18554.48	6282202		71.8	5.525
DOM	14334.733	10282116	17.603382	72.9	4.885
DOM	16524.533	10647247	11.420795	73.1	5.3018
DOM	13555.512	10157054	19.474157	72.7	
DOM	15967.202	10527589	15.35014	73	5.23
DOM	15145.47	10405832		73	5.155
DOM	13087.949	10030885	22.610174	72.5	
DOM	18626.078	11117873	10.541584	72.6	5.7372
DOM	12905.289	9903743	25.37426	72.2	5.036006
DOM	16768.426	10999668	8.73663	72.9	5.5451
DOM	18171.06	10881886	9.428515	73.6	5.6892
DOM	17484.121	10765532	9.920551	73.2	5.4253
NZL	42218.54	4746253	0.7374241	82.2	7.3238
NZL	41642.027	5061130		82.7	7.2766
NZL	41020.312	4590591	1.0456172	82	7.334
NZL	40353.105	4514198	0.95255077	81.8	7.286
NZL	42862.07	4838528	1.5500588	82.4	7.3075
NZL	38780.605	4410285	0.92964524	81.2	
NZL	38137.492	4381274	0.89015305	80.9	7.372486
NZL	41620.348	4668088	1.0711039	82.1	7.314
NZL	39521.074	4450641	1.0335582	81.7	
NZL	42915.453	5129730		82.5	7.1998
NZL	43110.37	4959033	2.601313	82.6	7.2996
ZWE	2399.6216	15052191	4.876369	61.4	3.6632
ZWE	2313.8787	14154937		59.6	4.193
ZWE	2333.6445	13555420		57.5	
ZWE	1990.3195	15669663	4.9777703	61.1	3.1448
ZWE	2286.6235	14452705		60.3	3.875
ZWE	2331.7808	14751101		60.7	3.6923
ZWE	2033.1814	13025789		53.3	3.978434
ZWE	2203.3967	15354606	5.1450353	61.3	3.2992
ZWE	2316.9546	13855758		58.8	4.61
ZWE	2310.8071	13265331	7.395217	55.6	
ZWE	2115.1445	15993525	6.139985	59.3	2.9951
SVN	37098.12	2117648	0.51944596	80.4	6.4607
SVN	39034.234	2112905	0.662596	81.6	6.3634
SVN	33799.727	2080865	0.96114016	80.8	5.768
SVN	37995.715	2105931	0.42736584	81.4	6.1177
SVN	33568.066	2065457	0.7746485	80	5.922324
SVN	33093.75	2074923	0.7711152	80.9	5.848
SVN	32613.49	2069365	0.67653966	80.1	
SVN	32234.025	2072374	0.5790459	80.3	
SVN	40036.484	2119408	0.4246466	80.7	6.6301
SVN	36507.555	2098396	0.90545523	81.1	5.9476
SVN	34853.043	2090020	0.47846434	81.2	5.758
BLR	19751.203	9578172		72.4	5.8215
BLR	18974.7	9695573	2.3309605	74.6	5.3225
BLR	18274.021	9706983	3.842595	71.5	5.566307
BLR	18611.455	9693754	3.5074148	72.6	
BLR	19119.346	9693741	3.5074184	73.6	5.813
BLR	19279.209	9673971	2.3258288	74.2	5.5399
BLR	18362.746	9700609	3.3606138	74	5.802
BLR	17883.127	9708111	3.1623044	74.3	5.569
BLR	18356.102	9707874	2.4722195	74.5	5.4833
BLR	18805.432	9691143	3.4361296	73	
BLR	19225.574	9633745		72.5	5.5335
LUX	112998.39	518207	0.7718938	80.8	7.050853
LUX	113050.664	543068	0.18413985	81.4	
LUX	111751.31	630401	0.4758887	81.4	7.3244
LUX	114542.5	619981	0.6451894	82.1	7.2375
LUX	115683.49	639330	0.6256638	82.6	7.404
LUX	116283.7	583355	0.8571169	82.1	6.863
LUX	112137.13	530596	0	81	
